candidate_id,question,proposed_reference_answer,required_key_facts,document_id,physical_pages,exact_source_span,answerable,proposed_split,review_status,review_notes,reviewer,reviewed_at_utc
candidate-018,Tezli yüksek lisans ve doktora kontenjanının en az ne kadarına yüzde yüz öğrenim ücreti muafiyeti sağlanır?,Kontenjanın en az yüzde 15'ine sağlanır.,"[""Asgari oran %15'tir."",""Muafiyet %100'dür.""]",lisansustu-egitim-ogretim-yonetmeligi,[2],kontenjanın en az %15’ine öğrenim ücreti muafiyeti (%100) sağlanır.,true,test,pending,,,
candidate-019,Yüksek lisans ve doktora programlarına kabul için hangi diplomalar gerekir?,Yüksek lisans için lisans; doktora için lisans veya tezli yüksek lisans diploması gerekir.,"[""Yüksek lisans kabulü için lisans diploması."",""Doktora kabulü için lisans veya tezli yüksek lisans diploması.""]",lisansustu-egitim-ogretim-yonetmeligi,[2],"Bir adayın yüksek lisans programına kabul edilebilmesi için lisans diplomasına, \ndoktora programına kabul edilebilmesi için lisans veya tezli yüksek lisans diplomasına sahip \nolması gerekir.",true,test,pending,,,
candidate-020,Sabancı Üniversitesi mezunları mezuniyetten sonra ne kadar süre İngilizce yeterli kabul edilir?,Mezuniyetlerini izleyen iki yıl boyunca.,"[""Süre iki yıldır.""]",lisansustu-egitim-ogretim-yonetmeligi,[3],"Sabancı Üniversitesi mezunları, mezuniyetlerini takiben iki yıl süresince İngilizce dil \nyeterliliklerini sağlamış kabul edilirler.",true,test,pending,,,
candidate-021,Tezli yüksek lisans programının normal ve azami süresi kaç dönemdir?,"Normal süre dört, azami süre altı dönemdir.","[""Normal süre 4 dönemdir."",""Azami süre 6 dönemdir.""]",lisansustu-egitim-ogretim-yonetmeligi,[11],"Tezli yüksek lisans programının süresi, bilimsel hazırlık süresi hariç, her dönem için \nkayıt yaptırıp yaptırmadığına bakılmaksızın dört dönem olup, azami süre altı dönemdir.",true,test,pending,,,
candidate-022,Derslerini ve seminerini tamamlayan bir doktora öğrencisi yeterlik sınavına bir yılda en fazla kaç kez girebilir?,Bir yılda en fazla iki kez girebilir.,"[""Yıllık üst sınır iki sınavdır.""]",lisansustu-egitim-ogretim-yonetmeligi,[13],"Doktora yeterlik sınavına, derslerini ve seminerini tamamlayan \nöğrenciler, bir yılda en fazla iki kez girebilirler.",true,test,pending,,,
candidate-023,Nanotanı Merkezinin araştırma ve teknoloji geliştirme amaçları arasında hangi tanı ürünü yer alır?,Hastalıklar için yeni jenerasyon tanı kitleri.,"[""Yeni jenerasyon tanı kitleri geliştirilmesi amaçlanır.""]",nanotani-fonksiyonel-yuzey-arayuzeyler-merkezi-yonetmeligi,[1],Hastalıklar için yeni jenerasyon tanı kitleri geliştirilmesi,true,dev,pending,,,
candidate-024,Nanotanı Merkezinin yönetim organları nelerdir?,"Müdür, Yönetim Kurulu ve Danışma Kuruludur.","[""Müdür."",""Yönetim Kurulu."",""Danışma Kurulu.""]",nanotani-fonksiyonel-yuzey-arayuzeyler-merkezi-yonetmeligi,[2],Merkezin yönetim organları şunlardır: \na) Müdür. \nb) Yönetim Kurulu. \nc) Danışma Kurulu.,true,test,pending,,,
candidate-025,Nanotanı Merkezi Danışma Kurulu yılda en az kaç defa toplanır?,Yılda en az bir defa toplanır.,"[""Asgari sıklık yılda birdir.""]",nanotani-fonksiyonel-yuzey-arayuzeyler-merkezi-yonetmeligi,[3],"Danışma Kurulu yılda en az bir defa müdürün çağırısıyla, üye tam sayısının salt çoğunluğuyla toplanır.",true,test,pending,,,
candidate-026,Toplumsal Cinsiyet ve Kadın Çalışmaları Merkezinin farkındalık amaçlı faaliyetleri nelerdir?,Toplumsal cinsiyet eşitliği konusunda farkındalık ve duyarlılığı artırmak için eğitim ve bilinç artırıcı faaliyetlerde bulunur.,"[""Farkındalık ve duyarlılık artırma."",""Eğitim ve bilinç artırıcı faaliyetler.""]",toplumsal-cinsiyet-kadin-calismalari-merkezi-yonetmeligi,[1],toplumsal cinsiyet eşitliği konusunda farkındalığı ve duyarlılığı arttırmak için eğitim ve bilinç arttırıcı \nfaaliyetlerde bulunmak,true,dev,pending,,,
candidate-027,Toplumsal Cinsiyet ve Kadın Çalışmaları Merkezinin faaliyet alanlarında hangi bilimsel etkinlikler sayılır?,"Konferanslar, seminerler ve sempozyumlar düzenlemek sayılır.","[""Konferans."",""Seminer."",""Sempozyum.""]",toplumsal-cinsiyet-kadin-calismalari-merkezi-yonetmeligi,[2],"konferanslar, seminerler ve sempozyumlar düzenlemek",true,test,pending,,,
candidate-028,Toplumsal Cinsiyet ve Kadın Çalışmaları Merkezi Müdürü kaç yıl için görevlendirilir?,Üç yıl için görevlendirilir.,"[""Görev süresi üç yıldır.""]",toplumsal-cinsiyet-kadin-calismalari-merkezi-yonetmeligi,[2],Mütevelli Heyeti tarafından üç yıl için \ngörevlendirilir.,true,test,pending,,,
candidate-029,Veri Analitiği Merkezinin temel bilimsel ve teknolojik amacı nedir?,Veri analitiği alanında ileri düzey bilimsel araştırmalar yapmak ve teknoloji geliştirmektir.,"[""İleri düzey bilimsel araştırma."",""Teknoloji geliştirme.""]",veri-analitigi-merkezi-yonetmeligi,[1],Veri analitiği alanında ileri düzeyde bilimsel araştırmalar yapmak ve teknoloji geliştirmek,true,dev,pending,,,
candidate-030,Veri Analitiği Merkezi Müdürü kimler arasından ve kaç yıl için görevlendirilir?,Veri analitiği eğitimi veya çalışması olan tam zamanlı öğretim üyeleri arasından üç yıl için görevlendirilir.,"[""Veri analitiği deneyimi/eğitimi."",""Tam zamanlı öğretim üyesi."",""Üç yıl.""]",veri-analitigi-merkezi-yonetmeligi,[2],"Müdür, veri analitiği konusunda eğitimi veya çalışmaları olan Üniversitenin tam zamanlı \nöğretim üyeleri arasından Rektörün önerisi üzerine Mütevelli Heyeti tarafından üç yıl için görevlendirilir.",true,test,pending,,,
candidate-031,Veri Analitiği Merkezi Danışma Kurulu kaç kişiden oluşur?,Yedi kişiden oluşur.,"[""Kurul yedi kişidir.""]",veri-analitigi-merkezi-yonetmeligi,[2],Mütevelli Heyeti tarafından görevlendirilen yedi kişiden \noluşur.,true,test,pending,,,
candidate-032,Tümleştirilmiş Üretim Teknolojileri Merkezinin araştırma ve teknoloji geliştirme alanlarından üçü nedir?,"İleri kompozit malzemeler, eklemeli imalat ve üç boyutlu basım bu alanlar arasındadır.","[""İleri kompozit malzemeler."",""Eklemeli imalat."",""Üç boyutlu basım.""]",tumlesik-uretim-teknolojileri-merkezi-yonetmeligi,[1],"kompozit malzemeler, polimer işleme süreçleri, nano ve makro üretim, eklemeli imalat ve üç boyutlu \nbasım alanlarında ileri düzeyde bilimsel araştırmalar yapmak ve teknoloji geliştirmek",true,test,pending,,,
candidate-033,Tümleştirilmiş Üretim Teknolojileri Merkezi Yönetim Kurulu kaç kişiden oluşur?,Beş kişiden oluşur.,"[""Kurul beş kişidir.""]",tumlesik-uretim-teknolojileri-merkezi-yonetmeligi,[3],Mütevelli Heyeti tarafından görevlendirilen beş kişiden oluşur.,true,test,pending,,,
candidate-034,Tümleştirilmiş Üretim Teknolojileri Merkezi Danışma Kurulu yılda en az kaç defa toplanır?,Yılda en az bir defa toplanır.,"[""Asgari sıklık yılda birdir.""]",tumlesik-uretim-teknolojileri-merkezi-yonetmeligi,[3],Danışma Kurulu yılda en az bir defa Müdürün çağrısı üzerine üye tam sayısının salt çoğunluğuyla toplanır.,true,test,pending,,,
candidate-035,İhale komisyonunda ihale konusu işin uzmanı olmak şartıyla en az kaç kişi yer alır?,En az iki kişi yer alır.,"[""En az iki uzman katılır.""]",sabanci-ihale-yonetmeligi,[2],ihale konusu işin uzmanı\nolmak şartıyla en az iki kişinin katılmasıyla kurulacak komisyonları görevlendirir.,true,dev,pending,,,
candidate-036,Üniversite ihaleye çıkmadan önce ilan yapmak zorunda mıdır?,"Evet, ilan yapmak zorundadır.","[""İhale öncesi ilan zorunludur.""]",sabanci-ihale-yonetmeligi,[2],"Üniversite, ihaleye çıkmadan önce ilan yapmak zorundadır.",true,test,pending,,,
candidate-037,Açık ihale usulünde kimler teklif verebilir?,Bütün istekliler teklif verebilir.,"[""Açık ihale tüm isteklilere açıktır.""]",sabanci-ihale-yonetmeligi,[4],Açık ihale usulü bütün isteklilerin teklif verebildiği usuldür.,true,test,pending,,,
candidate-038,Alım ve yapım ihalelerinde geçici teminat teklif bedelinin hangi oranları arasında olabilir?,"Yüzde 3'ten az, yüzde 6'dan fazla olamaz.","[""Alt sınır %3."",""Üst sınır %6.""]",sabanci-ihale-yonetmeligi,[5],"İhalelerde teklif edilen bedelin %3’ünden az, %6’sından fazla olmamak üzere isteklilerden\ngeçici teminat alınır.",true,test,pending,,,
candidate-039,"İhale, değerlendirme sonucunda hangi isteklinin üzerinde bırakılır?",Ekonomik açıdan en avantajlı teklifi veren isteklinin üzerinde bırakılır.,"[""Belirleyici ölçüt ekonomik açıdan en avantajlı tekliftir.""]",sabanci-ihale-yonetmeligi,[5],"ihale, ekonomik açıdan en avantajlı\nteklifi veren isteklinin üzerinde bırakılır.",true,test,pending,,,
candidate-040,Aday veya istekliler ihalenin sona ermesinden itibaren kaç iş günü içinde itiraz edebilir?,Beş iş günü içinde itiraz edebilir.,"[""İtiraz süresi beş iş günüdür.""]",sabanci-ihale-yonetmeligi,[9],ihalenin sona erdiği tarihten itibaren beş iş günü içinde Üniversiteye itiraz\nedebilirler.,true,test,pending,,,
candidate-041,Sabancı Üniversitesi kampüs yemekhanesinin 7 Eylül 2026 Pazartesi günü öğle menüsü nedir?,Bu corpus güncel yemekhane menüsünü içermediği için soru yanıtlanamaz.,[],,[],,false,dev,pending,,,
candidate-042,2026-2027 akademik yılında kampüs-servis hattının hafta içi ilk hareket saati kaçtır?,Bu corpus güncel servis tarifesini içermediği için soru yanıtlanamaz.,[],,[],,false,dev,pending,,,
candidate-043,Sabancı Üniversitesi kütüphanesi 1 Eylül 2026 tarihinde saat kaçta kapanır?,Bu corpus güncel kütüphane çalışma saatlerini içermediği için soru yanıtlanamaz.,[],,[],,false,test,pending,,,
candidate-044,2026-2027 yılı için Sabancı Üniversitesi yurtlarında tek kişilik oda ücreti ne kadardır?,Bu corpus güncel yurt fiyatlarını içermediği için soru yanıtlanamaz.,[],,[],,false,test,pending,,,
candidate-045,2026 sonbahar döneminde öğrenci spor merkezi üyelik ücreti ne kadardır?,Bu corpus güncel spor merkezi üyelik ücretini içermediği için soru yanıtlanamaz.,[],,[],,false,test,pending,,,
candidate-046,1 Eylül 2026 itibarıyla Veri Analitiği Merkezinde görev yapan araştırmacıların adları nelerdir?,Bu corpus güncel personel listesini içermediği için soru yanıtlanamaz.,[],,[],,false,test,pending,,,
candidate-047,2026-2027 Erasmus güz dönemi başvurularının son tarihi nedir?,Bu corpus güncel Erasmus başvuru takvimini içermediği için soru yanıtlanamaz.,[],,[],,false,test,pending,,,
candidate-048,2026-2027 güz dönemi lisans final sınavları hangi tarihte başlar?,Bu corpus güncel akademik takvim tarihini içermediği için soru yanıtlanamaz.,[],,[],,false,test,pending,,,
candidate-049,Kampüs kablosuz ağına Android telefondan bağlanmak için 2026'da kullanılması gereken EAP ayarları nelerdir?,Bu corpus güncel kablosuz ağ kurulum bilgisini içermediği için soru yanıtlanamaz.,[],,[],,false,test,pending,,,
candidate-050,1 Eylül 2026 tarihinde kampüsteki ziyaretçi otoparkında kaç boş yer vardır?,Bu corpus anlık otopark doluluk bilgisini içermediği için soru yanıtlanamaz.,[],,[],,false,test,pending,,,
