"candidate_id","question","proposed_reference_answer","required_key_facts","document_id","physical_pages","exact_source_span","answerable","proposed_split","review_status","review_notes","reviewer","reviewed_at_utc"
"candidate-041","Sabancı Üniversitesi kampüs yemekhanesinin 7 Eylül 2026 Pazartesi günü öğle menüsü nedir?","Bu corpus güncel yemekhane menüsünü içermediği için soru yanıtlanamaz.","[]","","[]","","false","dev","pending","","",""
"candidate-042","2026-2027 akademik yılında kampüs-servis hattının hafta içi ilk hareket saati kaçtır?","Bu corpus güncel servis tarifesini içermediği için soru yanıtlanamaz.","[]","","[]","","false","dev","pending","","",""
"candidate-043","Sabancı Üniversitesi kütüphanesi 1 Eylül 2026 tarihinde saat kaçta kapanır?","Bu corpus güncel kütüphane çalışma saatlerini içermediği için soru yanıtlanamaz.","[]","","[]","","false","test","pending","","",""
"candidate-044","2026-2027 yılı için Sabancı Üniversitesi yurtlarında tek kişilik oda ücreti ne kadardır?","Bu corpus güncel yurt fiyatlarını içermediği için soru yanıtlanamaz.","[]","","[]","","false","test","pending","","",""
"candidate-045","2026 sonbahar döneminde öğrenci spor merkezi üyelik ücreti ne kadardır?","Bu corpus güncel spor merkezi üyelik ücretini içermediği için soru yanıtlanamaz.","[]","","[]","","false","test","pending","","",""
"candidate-046","1 Eylül 2026 itibarıyla Veri Analitiği Merkezinde görev yapan araştırmacıların adları nelerdir?","Bu corpus güncel personel listesini içermediği için soru yanıtlanamaz.","[]","","[]","","false","test","pending","","",""
"candidate-047","2026-2027 Erasmus güz dönemi başvurularının son tarihi nedir?","Bu corpus güncel Erasmus başvuru takvimini içermediği için soru yanıtlanamaz.","[]","","[]","","false","test","pending","","",""
"candidate-048","2026-2027 güz dönemi lisans final sınavları hangi tarihte başlar?","Bu corpus güncel akademik takvim tarihini içermediği için soru yanıtlanamaz.","[]","","[]","","false","test","pending","","",""
"candidate-049","Kampüs kablosuz ağına Android telefondan bağlanmak için 2026'da kullanılması gereken EAP ayarları nelerdir?","Bu corpus güncel kablosuz ağ kurulum bilgisini içermediği için soru yanıtlanamaz.","[]","","[]","","false","test","pending","","",""
"candidate-050","1 Eylül 2026 tarihinde kampüsteki ziyaretçi otoparkında kaç boş yer vardır?","Bu corpus anlık otopark doluluk bilgisini içermediği için soru yanıtlanamaz.","[]","","[]","","false","test","pending","","",""
